	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
./	11627	0	1	0	0	0	0	0	0	0	0	0	1	0	0
./	12705	0	1	0	0	0	0	0	0	0	0	0	1	0	0
./	12709	0	1	0	0	0	0	0	0	0	0	0	1	0	0

./	12717	0	1	0	0	0	0	0	0	0	0	0	1	0	0
./	11589	1	1	0	0	1	1	1	1	1	1	1	0	1	0
\	11592	0	1	0	0	0	0	0	0	0	0	0	1	0	0
./	11621	0	1	0	0	0	0	0	0	0	0	0	1	0	0
\	11625	0	1	0	0	0	0	0	0	0	0	0	0	1	0
\	11629	0	1	0	0	0	0	0	0	0	0	0	0	1	0
\	12707	0	1	0	0	0	0	0	0	0	0	0	0	1	0
\	12711	0	1	0	0	0	0	0	0	0	0	0	0	1	0

\	12719	0	1	0	0	0	0	0	0	0	0	0	0	1	0

./	11593	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11622	0	1	0	0	0	0	0	0	0	0	0	1	0	0	

./	12706	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12710	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12712	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12718	0	1	0	0	0	0	0	0	0	0	0	1	0	0	


./	11584	0	1	0	0	0	0	0	0	0	0	1	1	0	0	
./	11621	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	12260	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	11259	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood And Metal Door
./	12258	0	1	0	0	0	0	0	0	0	0	0	1	0	0	

\	11206	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	12716	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood Door

\	12700	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Moon Door
./	12702	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Moon Door

v	12059	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12060	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12061	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12062	1	1	1	1	1	1	1	1	1	1	1	0	0	0	

\	13790	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Crystal Quarter
\	13792	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Half
\	13795	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13796	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13798	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
./	13789	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Quarter
./	13791	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Half
./	13793	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13794	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13797	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
v	13783	1	1	1	1	1	1	1	1	1	1	0	0	0	0	Quarter
v	13784	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Half
v	13785	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
o	13786	1	1	0	0	1	1	1	1	0	0	0	1	1	1	Quarter
o	13787	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Half
o	13788	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
\	13947	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13949	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13951	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13953	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
./	13955	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13957	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13959	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13961	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
o	13802	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13803	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13804	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13814	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13815	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar

\	13879	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Shadow Quarter
\	13881	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Half
\	13883	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13897	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13895	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13885	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
\	13887	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
./	13878	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Quarter
./	13880	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Half
./	13882	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13898	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13896	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13884	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
./	13886	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
v	13844	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Quarter
v	13845	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Half
v	13846	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
v	13843	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
o	13847	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Quarter
o	13848	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Half
o	13849	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
o	13842	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
\	13963	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13965	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13967	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13969	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
./	13971	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13973	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13975	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13977	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
o	13802	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13803	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13804	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13814	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13815	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
\	13840	1	1	0	0	1	0	1	0	1	0	1	0	1	0	Arch
\	13841	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Arch
./	13838	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Arch
./	13839	1	1	1	0	1	0	1	0	0	0	1	1	0	0	Arch
